name;short_name;header;x;y;modes;capacities;opening_hour;closing_hour
geneve la praille;GP;Geneve La Praille;2498683.08579784;1115812.54756125;carKV_cst;1000;1;23
zimeysa-meyrin;MM;ZIMEYSA-Meyrin;2494071.04276326;1119797.18386271;carKV_cst;1000;1;23
geneve aeroport;GA;Geneve Aeroport;2497444.98533135;1121486.3552646;carKV_cst;1000;1;23
nyon;NY;Nyon;2507389.63137538;1137589.89056303;carKV_cst;1000;1;23
gland;GL;Gland;2510236.74949205;1141877.8458448;carKV_cst;1000;1;23
aubonne;AU;Aubonne;2519636.66419155;1149872.48083107;carKV_cst;1000;1;23
tolochenaz-morges;TM;Tolochenaz-Morges;2525903.52496619;1150838.36953941;carKV_cst;1000;1;23
lausanne-malley;LM;Lausanne-Malley;2536819.67973551;1152913.11271024;carKV_cst;1000;1;23
crissier;CR;Crissier;2533716.92094306;1155986.4118713;carKV_cst;1000;1;23
aclens;AC;Aclens;2528800.36405275;1157812.94258953;carKV_cst;1000;1;23
daillens;DS;Daillens;2531823.39650168;1163639.58130282;carKV_cst;1000;1;23
chavorney;CH;Chavorney;2533635.94903445;1173435.2733906;carKV_cst;1000;1;23
yverdon;YV;Yverdon;2539099.03190796;1181121.62506182;carKV_cst;1000;1;23
payerne;PA;Payerne;2561993.17053678;1185774.06123542;carKV_cst;1000;1;23
avanches;AV;Avanches;2569820.29437475;1192241.09212474;carKV_cst;1000;1;23
fribourg;FR;Fribourg;2578882.07076481;1183961.80317923;carKV_cst;1000;1;23
kerzers;KE;Kerzers;2581494.74487902;1202675.599312;carKV_cst;1000;1;23
lyss;LY;Lyss;2590055.92174577;1213745.69081092;carKV_cst;1000;1;23
biel/bienne;BB;Biel/Bienne;2585446.65655778;1220662.28921695;carKV_cst;1000;1;23
schonbuhl;SC;Schonbuhl;2604644.73086755;1207726.50610193;carKV_cst;1000;1;23
bern weyermannshaus;BW;Bern Weyermannshaus;2597456.12422949;1199610.52362344;carKV_cst;1000;1;23
bern wankdorf;BE;Bern Wankdorf;2601971.38597459;1201273.53480241;carKV_cst;1000;1;23
muri-gumligen;MG;Muri-Gumligen;2604556.74605849;1198219.54546027;carKV_cst;1000;1;23
munsingen;MU;Munsingen;2609584.82853769;1191561.71417245;carKV_cst;1000;1;23
heimberg-steffisburg;HS;Heimberg-Steffisburg;2612742.00464016;1181464.02518189;carKV_cst;1000;1;23
gwatt;GW;Gwatt;2614094.46788748;1174660.70917712;carKV_cst;1000;1;23
solothurn-zuchwil;SZ;Solothurn-Zuchwil;2609043.50369618;1228074.01230945;carKV_cst;1000;1;23
niederbipp;NI;Niederbipp;2619076.07812309;1235665.51876093;carKV_cst;1000;1;23
neuendorf;NE;Neuendorf;2627054.96434031;1238655.73820496;carKV_cst;1000;1;23
harkingen;HA;Harkingen;2628763.64315606;1239675.83992569;carKV_cst;1000;1;23
rickenbach-wangen;RW;Rickenbach-Wangen;2631511.89590342;1243407.81848557;carKV_cst;1000;1;23
dulliken;DU;Dulliken;2638254.79021851;1244386.9822623;carKV_cst;1000;1;23
sissach;SI;Sissach;2628050.83152091;1257134.78679239;carKV_cst;1000;1;23
liestal;LI;Liestal;2622218.34450713;1259580.59788595;carKV_cst;1000;1;23
pratteln west;PW;Pratteln West;2619083.95202763;1263094.92720816;carKV_cst;1000;1;23
basel wolf;BA;Basel Wolf;2611286.03836016;1267664.68794513;carKV_cst;1000;1;23
basel gateway nord;BG;Basel Gateway Nord;2612226.15882077;1269929.35549449;carKV_cst;1000;1;23
